QC,TI,Re_d,PGrad,TurbTime,PStress,UMisalign,ConvTKE,TauRatio,Curvature,SQUARED_DUCT_RSTRESS,PERIODIC_HILL_RSTRESS
4.37E-06,0.0105558,0.0198373,-0.499517,0.846796,0.427801,0.000945562,0.00492604,0.536019,0.0894713,0.078577,-0.830315
6.69E-06,0.00901828,0.0113007,-0.499424,0.818224,0.537144,0.000823565,-0.00742569,0.535971,0.0992493,0.047327,-0.83848
7.32E-06,0.00770656,0.00582934,-0.498326,0.776101,0.675975,0.000677121,-0.0244329,0.53594,0.1089,0.002513,-0.845612
6.55E-06,0.00653062,0.00253612,-0.496499,0.708553,0.828957,0.000512856,-0.0523334,0.535918,0.119216,-0.067234,-0.852317
-0.00365129,0.880352,0.0654704,-0.490447,0.700931,0.461844,0.00998294,0.156484,0.5382,0.41599,-0.294747,-0.71899
-0.00892759,0.883585,0.099916,-0.485392,0.605156,0.595675,0.025462,0.250043,0.537881,0.471517,-0.292428,-0.727182
-0.0207687,0.88669,0.138225,-0.483455,0.510076,0.706407,0.0514677,0.399024,0.537244,0.50223,-0.291671,-0.747519
-0.0474251,0.890099,0.180996,-0.483153,0.421113,0.789453,0.0914697,0.578425,0.53672,0.523588,-0.290233,-0.767301
-0.113968,0.893934,0.228861,-0.483367,0.336676,0.854135,0.154802,0.747968,0.536358,0.542338,-0.287517,-0.783769
-0.310854,0.898254,0.28247,-0.483321,0.25982,0.907661,0.262727,0.870088,0.536136,0.561258,-0.28383,-0.795417
-0.83674,0.903091,0.342523,-0.482959,0.211017,0.95378,0.4368,0.926259,0.536043,0.581625,-0.278772,-0.798174
-0.845174,0.908473,0.409808,-0.482547,0.220325,0.994545,0.479117,0.923296,0.536071,0.604145,-0.271515,-0.78651
-0.425999,0.914421,0.485219,-0.48147,0.271136,0.970725,0.380298,0.880622,0.536217,0.629236,-0.262849,-0.762643
-0.239825,0.920944,0.569772,-0.480093,0.33026,0.943358,0.320384,0.817066,0.536486,0.657153,-0.254056,-0.732213
-0.15869,0.92804,0.664637,-0.478226,0.385372,0.921639,0.289378,0.745963,0.536881,0.687984,-0.245699,-0.697858
-0.117585,0.935685,0.77116,-0.475436,0.434215,0.904642,0.274568,0.675066,0.537408,0.72165,-0.238082,-0.660442
-0.0941945,0.943828,0.890892,-0.471737,0.47708,0.891812,0.27025,0.608035,0.538071,0.75786,-0.231104,-0.620236
-0.07975,0.952372,1.02562,-0.466648,0.514722,0.883052,0.274039,0.54625,0.538876,0.795995,-0.224552,-0.577115
-0.0702887,0.961161,1.17743,-0.459361,0.547925,0.878517,0.285319,0.489862,0.539825,0.835118,-0.218102,-0.531178
-0.0637888,0.969953,1.3487,-0.448475,0.577342,0.87866,0.304768,0.438427,0.540921,0.873893,-0.211377,-0.482303
